DATE,INDPRO
2007-02-01,103.5264
2007-03-01,103.7521
2007-04-01,104.4814
2007-05-01,104.5322
2007-06-01,104.5617
2007-07-01,104.5227
2007-08-01,104.7556
2007-09-01,105.1611
2007-10-01,104.7171
2007-11-01,105.3338
2007-12-01,105.3457
2008-01-01,105.0619
2008-02-01,104.7094
2008-03-01,104.4616
2008-04-01,103.6704
2008-05-01,103.0863
2008-06-01,102.8445
2008-07-01,102.3002
2008-08-01,100.7353
2008-09-01,96.3666
2008-10-01,97.2832
2008-11-01,96.0605
2008-12-01,93.2521
2009-01-01,91.0373
2009-02-01,90.4502
2009-03-01,89.0160
2009-04-01,88.3056
2009-05-01,87.4155
2009-06-01,87.0742
2009-07-01,88.0323
2009-08-01,89.0190
2009-09-01,89.6926
2009-10-01,89.9797
2009-11-01,90.3375
2009-12-01,90.6132
2010-01-01,91.6642
2010-02-01,91.9940
2010-03-01,92.5993
2010-04-01,92.9436
2010-05-01,94.2997
2010-06-01,94.4397
2010-07-01,94.8536
2010-08-01,95.1448
2010-09-01,95.3637
2010-10-01,95.1109
2010-11-01,95.1383
2010-12-01,96.0599
2011-01-01,95.9364
2011-02-01,95.5154
2011-03-01,96.4643
2011-04-01,96.1187
2011-05-01,96.3377
2011-06-01,96.6154
2011-07-01,97.1292
2011-08-01,97.6731
2011-09-01,97.6494
2011-10-01,98.3222
2011-11-01,98.2433
2011-12-01,98.7876
2012-01-01,99.3925
2012-02-01,99.6203
2012-03-01,99.1551
2012-04-01,99.9006
2012-05-01,100.0924
2012-06-01,100.0728
2012-07-01,100.3354
2012-08-01,99.8560
2012-09-01,99.9049
2012-10-01,100.1167
2012-11-01,100.5991
2012-12-01,100.9542
2013-01-01,100.8204
2013-02-01,101.3995
2013-03-01,101.8114
2013-04-01,101.6364
2013-05-01,101.7476
2013-06-01,101.9549
2013-07-01,101.5204
2013-08-01,102.1907
2013-09-01,102.7170
2013-10-01,102.5371
2013-11-01,102.8379
2013-12-01,103.1504
2014-01-01,102.7216
2014-02-01,103.5917
2014-03-01,104.5889
2014-04-01,104.6371
2014-05-01,105.0152
2014-06-01,105.4081
2014-07-01,105.6157
2014-08-01,105.4986
2014-09-01,105.8138
2014-10-01,105.8357
2014-11-01,106.6634
2014-12-01,106.5085
2015-01-01,105.9806
2015-02-01,105.4425
2015-03-01,105.1464
2015-04-01,104.5272
2015-05-01,104.0742
2015-06-01,103.7174
2015-07-01,104.3243
2015-08-01,104.1621
2015-09-01,103.7768
2015-10-01,103.3976
2015-11-01,102.6866
2015-12-01,102.1014
2016-01-01,102.9525
2016-02-01,102.2225
2016-03-01,101.4155
2016-04-01,101.5167
2016-05-01,101.4298
2016-06-01,101.8747
2016-07-01,102.1325
2016-08-01,102.0407
2016-09-01,102.0477
2016-10-01,102.2485
2016-11-01,102.0507
2016-12-01,102.9281
2017-01-01,103.0366
2017-02-01,102.6479
2017-03-01,103.3430
2017-04-01,104.2721
2017-05-01,104.4129
2017-06-01,104.5849
2017-07-01,104.5427
2017-08-01,104.0475
2017-09-01,104.0502
2017-10-01,105.6287
2017-11-01,106.1930
2017-12-01,106.5360
2018-01-01,106.2655
2018-02-01,106.6419
2018-03-01,107.2519
2018-04-01,108.2223
2018-05-01,107.3639
2018-06-01,108.1707
2018-07-01,108.6520
2018-08-01,109.5246
2018-09-01,109.6749
2018-10-01,109.9165
2018-11-01,110.5067
2018-12-01,110.5516
2019-01-01,110.1185
2019-02-01,109.5631
2019-03-01,109.6811
2019-04-01,108.9888
2019-05-01,109.2264
2019-06-01,109.2774
2019-07-01,109.0852
2019-08-01,109.8543
2019-09-01,109.4800
2019-10-01,109.0086
2019-11-01,109.9726
2019-12-01,109.5407
2020-01-01,109.2026
